epoch,accuracy,loss,lr,top3_acc,top5_acc,val_accuracy,val_loss,val_top3_acc,val_top5_acc
0,0.19765999913215637,1.4680219888687134,0.001,0.3754799962043762,0.49257999658584595,0.16745615005493164,1.5225571393966675,0.32103997468948364,0.4213690757751465
1,0.4171999990940094,0.848914623260498,0.001,0.6147400140762329,0.7201399803161621,0.49026820063591003,0.801568329334259,0.6838575601577759,0.7894396185874939
2,0.4595000147819519,0.7324768900871277,0.001,0.6477599740028381,0.7507799863815308,0.48015910387039185,0.5504414439201355,0.6826648116111755,0.789466381072998
3,0.4706999957561493,0.6873152852058411,0.001,0.6627600193023682,0.764460027217865,0.4774231016635895,0.5216328501701355,0.6866836547851562,0.7986918687820435
4,0.47964000701904297,0.662927508354187,0.001,0.66839998960495,0.7720199823379517,0.5025777816772461,0.511853039264679,0.7170182466506958,0.82483971118927
5,0.4801200032234192,0.6490085124969482,0.001,0.6715599894523621,0.7748000025749207,0.4858063757419586,0.5071884989738464,0.6920631527900696,0.7996971607208252
6,0.4817200005054474,0.6407922506332397,0.001,0.6757599711418152,0.7777000069618225,0.5007959604263306,0.49610111117362976,0.7110472321510315,0.8166706562042236
7,0.48166000843048096,0.6330179572105408,0.001,0.6765599846839905,0.7787600159645081,0.4778077006340027,0.5022919774055481,0.6819297075271606,0.7915135025978088
8,0.48576000332832336,0.6267789602279663,0.001,0.6806399822235107,0.781440019607544,0.5030354261398315,0.4931274950504303,0.7124030590057373,0.817651629447937
9,0.4822799861431122,0.623287558555603,0.001,0.678820013999939,0.7815999984741211,0.4858745336532593,0.49251890182495117,0.6926911473274231,0.7978885769844055
10,0.4840199947357178,0.6202577352523804,0.001,0.6803399920463562,0.7822200059890747,0.49399247765541077,0.49126994609832764,0.7070478796958923,0.8140490651130676
11,0.4855000078678131,0.6178666949272156,0.001,0.6840199828147888,0.7855799794197083,0.4945572018623352,0.4854212701320648,0.7032919526100159,0.8121235966682434
12,0.48339998722076416,0.6139376759529114,0.001,0.6812400221824646,0.7822999954223633,0.5043182373046875,0.48198163509368896,0.713688313961029,0.8184475898742676
13,0.48862001299858093,0.6097170114517212,0.001,0.6847800016403198,0.7859200239181519,0.5053040385246277,0.4803101420402527,0.7169184684753418,0.8223349452018738
14,0.48627999424934387,0.6080282926559448,0.001,0.684499979019165,0.7869200110435486,0.49914073944091797,0.4769062399864197,0.7141094207763672,0.818033754825592
15,0.48796001076698303,0.6063792109489441,0.001,0.6872599720954895,0.786620020866394,0.4780900478363037,0.48345524072647095,0.6912769079208374,0.7995268106460571
