epoch,accuracy,loss,lr,top3_acc,top5_acc,val_accuracy,val_loss,val_top3_acc,val_top5_acc
16,0.4883800148963928,0.6028461456298828,0.001,0.6872000098228455,0.7877799868583679,0.5072781443595886,0.4800179600715637,0.7180138230323792,0.8261614441871643
17,0.4904800057411194,0.6013721227645874,0.001,0.6837000250816345,0.7865599989891052,0.4903363585472107,0.4745897650718689,0.7001567482948303,0.8069899678230286
18,0.4897199869155884,0.5996214747428894,0.001,0.6862599849700928,0.7892199754714966,0.5057762861251831,0.4729948937892914,0.7171399593353271,0.8246546983718872
19,0.49116000533103943,0.5977326035499573,0.001,0.6871399879455566,0.7895799875259399,0.49312102794647217,0.4763732850551605,0.703530490398407,0.8115418553352356
20,0.48758000135421753,0.5968720316886902,0.001,0.6848999857902527,0.786899983882904,0.4816268980503082,0.47351956367492676,0.6863282322883606,0.7967932224273682
21,0.4898200035095215,0.5945878028869629,0.001,0.6869400143623352,0.7878400087356567,0.4920938313007355,0.47724467515945435,0.705178439617157,0.8126396536827087
22,0.48938000202178955,0.5929774045944214,0.001,0.6859999895095825,0.7900800108909607,0.49750012159347534,0.47182947397232056,0.7079899311065674,0.8150908946990967
23,0.489080011844635,0.5907416343688965,0.001,0.6884400248527527,0.7918000221252441,0.5075313448905945,0.4689349830150604,0.717592716217041,0.8258231282234192
24,0.48980000615119934,0.589316189289093,0.001,0.6891999840736389,0.7909600138664246,0.5024780035018921,0.4699047803878784,0.7151755690574646,0.8198107481002808
25,0.4887399971485138,0.5912281274795532,0.001,0.6870599985122681,0.7893800139427185,0.5145831108093262,0.47002390027046204,0.7261366248130798,0.830689013004303
26,0.4891200065612793,0.590264081954956,0.001,0.6887199878692627,0.7895399928092957,0.5042646527290344,0.470440536737442,0.7146254777908325,0.8229775428771973
27,0.4914399981498718,0.5867489576339722,0.001,0.6876199841499329,0.7900000214576721,0.48997610807418823,0.4674859344959259,0.7007555365562439,0.8092829585075378
28,0.4915600121021271,0.5849125385284424,0.001,0.6904000043869019,0.7914000153541565,0.4966919720172882,0.46658584475517273,0.7046331763267517,0.8132628202438354
29,0.4916999936103821,0.5852289199829102,0.001,0.6896200180053711,0.7920600175857544,0.4828025996685028,0.465586394071579,0.6876426935195923,0.7976111173629761
30,0.4931800067424774,0.5844396352767944,0.001,0.6894599795341492,0.7906399965286255,0.5229371786117554,0.4613860249519348,0.7349799871444702,0.8379671573638916
31,0.49230000376701355,0.5814336538314819,0.001,0.6904199719429016,0.7910599708557129,0.5174164772033691,0.4645971655845642,0.7266794443130493,0.8311076760292053
32,0.4943599998950958,0.5808886289596558,0.001,0.6912000179290771,0.7925999760627747,0.4980940520763397,0.47022300958633423,0.7084329128265381,0.8163760900497437
33,0.49022001028060913,0.580440878868103,0.001,0.6913999915122986,0.7933400273323059,0.4977191984653473,0.4640040695667267,0.7046380639076233,0.8100277781486511
34,0.4907599985599518,0.5809614062309265,0.001,0.6894800066947937,0.7924000024795532,0.5066331028938293,0.4626772701740265,0.7159861326217651,0.8210204839706421
35,0.49511998891830444,0.5793693661689758,0.001,0.6937199831008911,0.7927200198173523,0.5125457048416138,0.46137478947639465,0.7207182049751282,0.8252827525138855
36,0.4918400049209595,0.5791632533073425,0.001,0.6899999976158142,0.7912999987602234,0.5179787874221802,0.461761474609375,0.7294130325317383,0.8367452025413513
37,0.4921000003814697,0.5784340500831604,0.001,0.6910200119018555,0.7933800220489502,0.521449863910675,0.46575209498405457,0.7358635663986206,0.839413046836853
38,0.494159996509552,0.5772944092750549,0.001,0.6916999816894531,0.7940599918365479,0.5041916370391846,0.4558478891849518,0.7145134806632996,0.819148600101471
39,0.4942399859428406,0.5774092078208923,0.001,0.6912800073623657,0.7935799956321716,0.5166594386100769,0.45661798119544983,0.7267500162124634,0.8301486372947693
40,0.49338001012802124,0.5762935876846313,0.001,0.6940799951553345,0.7941200137138367,0.49987584352493286,0.46407201886177063,0.7152461409568787,0.8206091523170471
41,0.4959399998188019,0.5733308792114258,0.001,0.6920999884605408,0.7937600016593933,0.504960834980011,0.45989224314689636,0.7127706408500671,0.8177270889282227
42,0.4939799904823303,0.5740442872047424,0.001,0.6940400004386902,0.7943999767303467,0.5029599666595459,0.4621015787124634,0.7178775072097778,0.8267261981964111
43,0.4950999915599823,0.5738846659660339,0.001,0.6940000057220459,0.792739987373352,0.5097585916519165,0.4590620994567871,0.7247589230537415,0.8319352865219116
44,0.49522000551223755,0.5728359222412109,0.001,0.692579984664917,0.7916200160980225,0.5061754584312439,0.4640147387981415,0.7138392329216003,0.8186423182487488
45,0.49371999502182007,0.5726203322410583,0.001,0.6927599906921387,0.7933400273323059,0.4993573725223541,0.4634087085723877,0.7075834274291992,0.8114444613456726
46,0.4939199984073639,0.571462094783783,0.001,0.6921600103378296,0.7925199866294861,0.5043668746948242,0.4601179361343384,0.721187949180603,0.8269038796424866
47,0.4950999915599823,0.5710662603378296,0.001,0.6948800086975098,0.7956399917602539,0.5050046443939209,0.45461586117744446,0.7165703773498535,0.821061909198761
48,0.49410000443458557,0.5704666376113892,0.001,0.6915199756622314,0.7919999957084656,0.5147802829742432,0.45968520641326904,0.7177582383155823,0.8236494064331055
49,0.4960399866104126,0.5706679224967957,0.001,0.6947000026702881,0.7928400039672852,0.48900729417800903,0.45892950892448425,0.7035499811172485,0.8131386637687683
50,0.49588000774383545,0.5693063735961914,0.001,0.6937599778175354,0.7955999970436096,0.5126917362213135,0.45983338356018066,0.726148784160614,0.8312318325042725
51,0.49470001459121704,0.5685746669769287,0.001,0.6932799816131592,0.7940000295639038,0.5268707871437073,0.4623340666294098,0.7328987717628479,0.8365602493286133
52,0.49678000807762146,0.5681142807006836,0.001,0.6931999921798706,0.7952600121498108,0.5179252028465271,0.45600903034210205,0.7302333116531372,0.8354648351669312
53,0.49386000633239746,0.5695211291313171,0.001,0.693560004234314,0.7946599721908569,0.5219342708587646,0.46265462040901184,0.73069828748703,0.8353991508483887
54,0.4950999915599823,0.5673877596855164,0.001,0.695360004901886,0.7946599721908569,0.5063848495483398,0.4530663788318634,0.716241717338562,0.8209036588668823
55,0.49779999256134033,0.5679816603660583,0.001,0.6958000063896179,0.7963799834251404,0.5145490169525146,0.4592370092868805,0.7316768169403076,0.8376190662384033
56,0.49480000138282776,0.5667473673820496,0.001,0.6940199732780457,0.7942799925804138,0.4955357313156128,0.45779213309288025,0.7051103115081787,0.8138056397438049
57,0.49671998620033264,0.5672287344932556,0.001,0.6952199935913086,0.7952799797058105,0.510218620300293,0.46499764919281006,0.7250485420227051,0.8289534449577332
58,0.49480000138282776,0.5681850910186768,0.001,0.6952400207519531,0.7965199947357178,0.503592848777771,0.453457772731781,0.7130919098854065,0.8215073347091675
59,0.4977400004863739,0.5668038129806519,0.001,0.6975399851799011,0.7974399924278259,0.511372447013855,0.4535462260246277,0.7248027324676514,0.8305526971817017
60,0.4981200098991394,0.5658724904060364,0.001,0.6965000033378601,0.7971799969673157,0.5076237916946411,0.4572189152240753,0.7203238606452942,0.8283789753913879
61,0.49542000889778137,0.5653305053710938,0.001,0.6955599784851074,0.7958400249481201,0.5114892721176147,0.45547664165496826,0.7228553891181946,0.8270158767700195
62,0.4978800117969513,0.5654239654541016,0.001,0.6938599944114685,0.794160008430481,0.5127550363540649,0.45976921916007996,0.7292183041572571,0.835029125213623
63,0.49893999099731445,0.5643479824066162,0.001,0.6955599784851074,0.7966600060462952,0.513288140296936,0.45292341709136963,0.7266843318939209,0.8322371244430542
64,0.49570000171661377,0.5626548528671265,0.001,0.6937800049781799,0.793940007686615,0.5083467364311218,0.4564547538757324,0.7262266874313354,0.8324342966079712
65,0.4990200102329254,0.5618712306022644,0.001,0.6972600221633911,0.795960009098053,0.50466388463974,0.44819530844688416,0.7153289318084717,0.8222448825836182
66,0.4959999918937683,0.5618072748184204,0.001,0.6959400177001953,0.7952600121498108,0.5159754157066345,0.46094855666160583,0.724907398223877,0.8297981023788452
67,0.4975000023841858,0.5615310668945312,0.001,0.6956400275230408,0.7983999848365784,0.5137189626693726,0.45630234479904175,0.7250485420227051,0.829815149307251
68,0.4959000051021576,0.5612568259239197,0.001,0.6972200274467468,0.7973200082778931,0.5027725100517273,0.45790478587150574,0.7109328508377075,0.8165026903152466
69,0.4966199994087219,0.5596053600311279,0.001,0.6970199942588806,0.7969200015068054,0.5100506544113159,0.44970792531967163,0.7186150550842285,0.8228363990783691
70,0.5005599856376648,0.5598615407943726,0.001,0.6964600086212158,0.7973999977111816,0.5082786083221436,0.4589516818523407,0.7210322022438049,0.8261760473251343
71,0.4994400143623352,0.5597317218780518,0.001,0.6954200267791748,0.7971600294113159,0.510698139667511,0.45847898721694946,0.7175172567367554,0.8232915997505188
72,0.49889999628067017,0.5593879818916321,0.001,0.6966800093650818,0.796239972114563,0.5008495450019836,0.4565297067165375,0.7121694087982178,0.8210156559944153
73,0.5000399947166443,0.5595409870147705,0.001,0.6959599852561951,0.798259973526001,0.5099459886550903,0.4549728035926819,0.7243109941482544,0.8307328224182129
74,0.4983600080013275,0.5583208203315735,0.001,0.6972799897193909,0.7976999878883362,0.5164476633071899,0.4518446624279022,0.7333174347877502,0.8378527760505676
75,0.4988200068473816,0.559080958366394,0.001,0.6952400207519531,0.7954999804496765,0.5012316703796387,0.45374795794487,0.7053707242012024,0.8102931380271912
76,0.49810001254081726,0.5575695037841797,0.001,0.6950600147247314,0.7939800024032593,0.5166886448860168,0.45625561475753784,0.7294957637786865,0.8353675007820129
77,0.5000799894332886,0.5583518147468567,0.001,0.6970000267028809,0.7970399856567383,0.5137919783592224,0.4596647620201111,0.7235904932022095,0.8303190469741821
