epoch,accuracy,learning_rate,loss,top3_acc,top5_acc,val_accuracy,val_loss,val_oma,val_top3_acc,val_top5_acc
0,0.47044989466667175,0.0010000000474974513,0.20376871526241302,0.6339846253395081,0.7042456269264221,0.4844718873500824,0.12022395431995392,0.89396,0.657012403011322,0.7329471111297607
1,0.489574670791626,0.0010000000474974513,0.107744500041008,0.6502125263214111,0.7161300182342529,0.5113783478736877,0.0764719620347023,0.916925,0.6761333346366882,0.7450810074806213
2,0.5039556622505188,0.0010000000474974513,0.07450619339942932,0.6648806929588318,0.7285447716712952,0.5486271381378174,0.050638459622859955,0.94297,0.7160441875457764,0.787373423576355
3,0.5138053894042969,0.0010000000474974513,0.05810848996043205,0.6780874729156494,0.7425360679626465,0.5467303991317749,0.04146420210599899,0.955255,0.7221296429634094,0.7948881983757019
4,0.5201343894004822,0.0010000000474974513,0.04929489269852638,0.686017632484436,0.7501052618026733,0.5272472500801086,0.0356416180729866,0.96126,0.7046463489532471,0.7757030129432678
5,0.5232523679733276,0.0010000000474974513,0.044100258499383926,0.691119372844696,0.7560846209526062,0.5602118968963623,0.03314574435353279,0.964665,0.7518168687820435,0.8324310779571533
6,0.5270830988883972,0.0010000000474974513,0.04006366431713104,0.6972418427467346,0.7630724906921387,0.5560776591300964,0.029557228088378906,0.971045,0.7436575293540955,0.8123890161514282
7,0.5301464200019836,0.0010000000474974513,0.0370936281979084,0.700135350227356,0.7642551064491272,0.5176682472229004,0.034843120723962784,0.966985,0.7078146934509277,0.7786726951599121
8,0.5302561521530151,0.0010000000474974513,0.034657906740903854,0.6994409561157227,0.7626911401748657,0.5428980588912964,0.026498612016439438,0.975595,0.7217479348182678,0.7854143977165222
9,0.5296953320503235,0.0010000000474974513,0.03297082334756851,0.697570264339447,0.7598443627357483,0.5436049103736877,0.024956053122878075,0.97642,0.7299482226371765,0.7927461266517639
10,0.5303095579147339,0.0010000000474974513,0.03129180893301964,0.699265718460083,0.7610870599746704,0.5239075422286987,0.024066604673862457,0.97699,0.6980701684951782,0.761152446269989
